category,name,size,price,description,prompt_for,upsell
Pizza,Cheese,"Small (10"")",12.95,,,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Cheese,"Medium (14"")",14.95,,,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Cheese,"Large (16"")",16.50,,,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,German,"Small (10"")",12.95,"Chopped steak, onions, black olives, banana peppers",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,German,"Medium (14"")",15.50,"Chopped steak, onions, black olives, banana peppers",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,German,"Large (16"")",19.99,"Chopped steak, onions, black olives, banana peppers",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Veggie,"Small (10"")",12.95,"Onions, green peppers, black olives, mushrooms, tomatoes",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Veggie,"Medium (14"")",19.99,"Onions, green peppers, black olives, mushrooms, tomatoes",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Veggie,"Large (16"")",21.99,"Onions, green peppers, black olives, mushrooms, tomatoes",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Jack's Special,"Small (10"")",12.95,"Onions, pepperoni, green peppers, extra cheese, sausage, bacon, mushrooms",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Jack's Special,"Medium (14"")",21.99,"Onions, pepperoni, green peppers, extra cheese, sausage, bacon, mushrooms",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Jack's Special,"Large (16"")",24.99,"Onions, pepperoni, green peppers, extra cheese, sausage, bacon, mushrooms",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Hawaiian,"Small (10"")",12.95,"Ham, pineapple",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Hawaiian,"Medium (14"")",17.99,"Ham, pineapple",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Hawaiian,"Large (16"")",19.99,"Ham, pineapple",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Meat Lover,"Small (10"")",12.95,"Bacon, ham, sausage, pepperoni",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Meat Lover,"Medium (14"")",19.99,"Bacon, ham, sausage, pepperoni",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Meat Lover,"Large (16"")",21.99,"Bacon, ham, sausage, pepperoni",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Margherita,"Small (10"")",12.95,"Marinara sauce, fresh mozzarella, basil, finished with olive oil, parmesan cheese",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Margherita,"Medium (14"")",19.99,"Marinara sauce, fresh mozzarella, basil, finished with olive oil, parmesan cheese",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Margherita,"Large (16"")",22.99,"Marinara sauce, fresh mozzarella, basil, finished with olive oil, parmesan cheese",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Grandma's,"Small (10"")",12.95,"Sweet sauce, basil, mozzarella",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Grandma's,"Medium (14"")",19.99,"Sweet sauce, basil, mozzarella",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Grandma's,"Large (16"")",21.99,"Sweet sauce, basil, mozzarella",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Bruschetta,"Small (10"")",12.95,"Tomatoes, garlic sauce, mozzarella",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Bruschetta,"Medium (14"")",17.99,"Tomatoes, garlic sauce, mozzarella",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Bruschetta,"Large (16"")",19.99,"Tomatoes, garlic sauce, mozzarella",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Buffalo Chicken,"Small (10"")",12.95,Chopped chicken; choose sauce; topped with bleu cheese or ranch,"which sauce (hot, mild, or BBQ); bleu cheese or ranch","add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Buffalo Chicken,"Medium (14"")",19.99,Chopped chicken; choose sauce; topped with bleu cheese or ranch,"which sauce (hot, mild, or BBQ); bleu cheese or ranch","add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Buffalo Chicken,"Large (16"")",22.99,Chopped chicken; choose sauce; topped with bleu cheese or ranch,"which sauce (hot, mild, or BBQ); bleu cheese or ranch","add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Chicken Bacon Ranch,"Small (10"")",12.95,"Crispy chicken, bacon topped with ranch",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Chicken Bacon Ranch,"Medium (14"")",19.99,"Crispy chicken, bacon topped with ranch",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Chicken Bacon Ranch,"Large (16"")",22.99,"Crispy chicken, bacon topped with ranch",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Thai Sweet Chili Chicken,"Small (10"")",12.95,"Mozzarella, crispy chicken, pineapples, tossed in a Thai sweet chili sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Thai Sweet Chili Chicken,"Medium (14"")",19.99,"Mozzarella, crispy chicken, pineapples, tossed in a Thai sweet chili sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Thai Sweet Chili Chicken,"Large (16"")",21.99,"Mozzarella, crispy chicken, pineapples, tossed in a Thai sweet chili sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Pierogie,"Small (10"")",12.95,"Sauteed pierogies, onions, mozzarella, topped with cheese blend",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Pierogie,"Medium (14"")",20.99,"Sauteed pierogies, onions, mozzarella, topped with cheese blend",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Pierogie,"Large (16"")",22.99,"Sauteed pierogies, onions, mozzarella, topped with cheese blend",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Roma,"Small (10"")",12.95,"Ricotta cheese, mozzarella, broccoli, garlic sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Roma,"Medium (14"")",19.99,"Ricotta cheese, mozzarella, broccoli, garlic sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Roma,"Large (16"")",22.99,"Ricotta cheese, mozzarella, broccoli, garlic sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Taco,"Small (10"")",12.95,"Seasoned ground beef, American cheese, mozzarella, cheddar, topped with lettuce, tomato, tortilla chips",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Taco,"Medium (14"")",19.99,"Seasoned ground beef, American cheese, mozzarella, cheddar, topped with lettuce, tomato, tortilla chips",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Taco,"Large (16"")",23.99,"Seasoned ground beef, American cheese, mozzarella, cheddar, topped with lettuce, tomato, tortilla chips",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Gyro,"Small (10"")",12.95,"Mozzarella, gyro meat, homemade tzatziki sauce, fresh tomatoes, red onions",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Gyro,"Medium (14"")",19.99,"Mozzarella, gyro meat, homemade tzatziki sauce, fresh tomatoes, red onions",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Gyro,"Large (16"")",22.99,"Mozzarella, gyro meat, homemade tzatziki sauce, fresh tomatoes, red onions",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Spicy Chapo,"Small (10"")",12.95,"Crispy chicken, jalapeno peppers, fresh tomatoes, mozzarella, jalapeno ranch sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Spicy Chapo,"Medium (14"")",19.99,"Crispy chicken, jalapeno peppers, fresh tomatoes, mozzarella, jalapeno ranch sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Spicy Chapo,"Large (16"")",21.99,"Crispy chicken, jalapeno peppers, fresh tomatoes, mozzarella, jalapeno ranch sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Mikes Hot n Honey,"Small (10"")",13.95,"Sweet spicy sauce, pepperoni, bacon, crispy chicken, Mikes Hot n Honey, mozzarella",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Mikes Hot n Honey,"Medium (14"")",19.99,"Sweet spicy sauce, pepperoni, bacon, crispy chicken, Mikes Hot n Honey, mozzarella",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Mikes Hot n Honey,"Large (16"")",22.99,"Sweet spicy sauce, pepperoni, bacon, crispy chicken, Mikes Hot n Honey, mozzarella",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,White,"Small (10"")",12.95,"Ricotta, mozzarella with garlic sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,White,"Medium (14"")",15.50,"Ricotta, mozzarella with garlic sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,White,"Large (16"")",19.99,"Ricotta, mozzarella with garlic sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Gourmet White Fiesta,"Small (10"")",12.95,"Mozzarella, spinach, broccoli, tomatoes, roasted red peppers, garlic sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Gourmet White Fiesta,"Medium (14"")",21.99,"Mozzarella, spinach, broccoli, tomatoes, roasted red peppers, garlic sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Gourmet White Fiesta,"Large (16"")",23.99,"Mozzarella, spinach, broccoli, tomatoes, roasted red peppers, garlic sauce",,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Thin Sicilian Pizza,One size (made to order),17.50,Made to order,,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
Pizza,Gluten-Free Pizza,One size,15.50,Gluten-free crust,,"add extra toppings; add gourmet toppings (steak, grilled chicken, etc.); suggest wings, garlic knots, or drinks"
By the Slice,Regular Slice,Slice,2.85,Cheese slice,,add toppings; add gourmet toppings; suggest making it a combo with a drink
Wings,Wings (Bone-In),10 Pieces,16.99,Choose flavor(s),which wing flavor(s),add extra dip or celery; suggest fries and a drink
Wings,Wings (Boneless),10 Pieces,11.99,Choose flavor(s),which wing flavor(s),add extra dip or celery; suggest fries and a drink
Appetizers,Side Salad,,3.99,,,suggest a drink
Appetizers,French Fries,,4.99,,,suggest a drink
Appetizers,Nacho Cheese Fries,,6.99,,,suggest a drink
Appetizers,Bacon Cheese Fries,,8.49,,,suggest a drink
Appetizers,Sweet Potato Fries,,6.49,,,suggest a drink
Appetizers,Crab Fries,,8.99,Old bay seasoning with a side of nacho cheese,,suggest a drink
Appetizers,Crazy Fries,,9.99,"Chicken steak meat, onions, nacho cheese, mild sauce",,suggest a drink
Appetizers,Texas Fries,,9.99,"Bacon, cheddar cheese and jalapeno peppers",,suggest a drink
Appetizers,Cali Fries,,9.99,"Mozzarella, bacon, ranch",,suggest a drink
Appetizers,Pierogies (3),,5.99,,,suggest a drink
Appetizers,Sauteed Pierogies with onions (5),,9.99,,,suggest a drink
Appetizers,Mozzarella Sticks (6),,8.99,,,suggest a drink
Appetizers,Onion Rings,,7.99,,,suggest a drink
Appetizers,Nonas Meatballs (3),,9.50,In marinara sauce topped with a scoop of fresh ricotta,,suggest a drink
Appetizers,Spinach Artichoke Dip,,9.99,Served with tortilla chips,,suggest a drink
Appetizers,Homemade Buffalo Chicken Dip,,12.99,Served with toasted pita chips,,suggest a drink
Appetizers,Jack's Loaded Nachos,,12.95,"Lettuce, tomatoes, onions, nacho cheese. Served with sour cream, salsa",steak or chicken,suggest a drink
Appetizers,Chicken Fingers (5) with french fries,,10.95,,,suggest a drink
Appetizers,Jalapeno Poppers (5),,6.99,,,suggest a drink
Appetizers,Garlic Knots (6),,5.99,,,suggest a drink
Appetizers,Boom Boom Shrimp,,11.99,,,suggest a drink
Appetizers,Shrimp in Basket with french fries,,12.50,,,suggest a drink
Appetizers,Fish and Chips,,13.50,,,suggest a drink
Appetizers,Mussels Fra Diavolo,,14.99,Spicy marinara with toasted bread,,suggest a drink
Appetizers,Bruschetta,,9.99,"Chopped tomatoes, garlic, basil, olive oil and parmesan cheese on toasted bread",,suggest a drink
Appetizers,Caprese Salad,,9.99,"Fresh mozzarella, tomatoes, basil, balsamic glaze",,suggest a drink
Appetizers,Loaded Pierogies,,11.99,"Sauteed spinach, tomatoes, onions topped with cheese blend",,suggest a drink
Soups,Chicken Noodle,Cup,4.99,,,suggest a side salad
Soups,Chicken Noodle,Bowl,7.99,,,suggest a side salad
Soups,Lobster Bisque,Cup,4.99,,,suggest a side salad
Soups,Lobster Bisque,Bowl,7.99,,,suggest a side salad
Soups,Soup of the Day,Cup,5.99,,,suggest a side salad
Soups,Soup of the Day,Bowl,8.99,,,suggest a side salad
Salads,House,,8.99,"Tomatoes, onions, cucumbers",which dressing,add extra dressing; suggest a drink
Salads,Tuna,,11.95,"Tomatoes, onions, cucumbers, provolone cheese",which dressing,add extra dressing; suggest a drink
Salads,Greek,,10.99,"Tomatoes, red onions, cucumbers, kalamata olives, feta cheese",which dressing,"add extra dressing; add a protein (chicken +$4, shrimp +$6, salmon +$8, steak +$8); suggest a drink"
Salads,Antipasta,,11.99,"Ham, provolone, salami, tomatoes, onions, cucumbers",which dressing,add extra dressing; suggest a drink
Salads,Chicken Caesar,,12.95,"Grilled chicken, croutons, parmesan cheese",which dressing,"add extra dressing; add a protein (shrimp +$6 or salmon +$8); suggest a drink"
Salads,Caprese Chicken,,12.95,"Grilled chicken, tomatoes, fresh mozzarella, olive oil with balsamic glaze. Served on a bed of lettuce",which dressing,add extra dressing; add shrimp +$6; suggest a drink
Salads,Grilled Chicken,,12.95,"Tomatoes, onions, cucumbers",which dressing,add extra dressing; add a protein (shrimp +$6 or steak +$8); suggest a drink
Salads,Buffalo Grilled Chicken,,12.95,"Tomatoes, onions, cucumbers; choose sauce","which dressing; which sauce (hot, mild, BBQ, or sweet & spicy)",add extra dressing; suggest a drink
Salads,Cajun Chicken,,12.95,"Tomatoes, onions, cucumbers",which dressing,add extra dressing; add shrimp +$6; suggest a drink
Salads,Cheesesteak / Chicken Cheesesteak,,12.95,"With onions, served over house salad",which dressing; steak or chicken,add extra dressing; suggest a drink
Salads,Triple Bogey,,12.95,"Grilled chicken, romaine lettuce, bacon, egg, tomatoes, avocado",which dressing,add extra dressing; add shrimp +$6; suggest a drink
Salads,Shrimp Thai Sweet Chili,,12.99,"Fried shrimp, pineapple, tomatoes, red onions, cucumbers",which dressing,add extra dressing; suggest a drink
Salads,Gyro (Beef or Chicken),,14.99,"Tomatoes, onions, cucumbers, chopped pita, homemade tzatziki sauce",which dressing; beef or chicken,add extra dressing; add a protein (shrimp +$6 or steak +$8); suggest a drink
Salads,Southwest,,11.99,"Fire roasted corn, avocado, black beans, tortilla strips, served with cilantro lime vinaigrette",which dressing,"add extra dressing; add a protein (chicken +$4, shrimp +$6, salmon +$8, steak +$8); suggest a drink"
Flatbreads,BBQ Chicken,,10.50,"BBQ sauce, chicken, cheese blend",,suggest wings or a drink
Flatbreads,Buffalo Chicken,,10.50,"Wing sauce, chicken, cheese blend; choose sauce",which sauce (hot or mild),suggest wings or a drink
Flatbreads,Buffalo Chicken Dip,,10.50,"Topped with cheese blend, ranch",,suggest wings or a drink
Flatbreads,Cheesesteak,,10.50,"Chopped steak meat, fried onions, hot peppers, cheese blend",,suggest wings or a drink
Flatbreads,Chicken Bacon Ranch,,10.50,"Chopped chicken, bacon, cheese blend, ranch dressing",,suggest wings or a drink
Flatbreads,Margherita,,10.50,"Marinara sauce, fresh mozzarella, fresh basil",,suggest wings or a drink
Wraps,Grilled Chicken Bacon & Ranch,,9.99,"Served with homemade chips. Grilled chicken, lettuce, tomatoes, onions, bacon, ranch dressing",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Wraps,Chicken Caesar,,9.99,"Served with homemade chips. Grilled chicken, chopped romaine, parmesan cheese, croutons, caesar dressing",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Wraps,Buffalo Chicken,,9.99,"Served with homemade chips. Grilled chicken, lettuce, tomatoes, onions; choose sauce","which sauce (hot, mild, BBQ, or sweet & spicy)","upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Wraps,Italian,,9.99,"Served with homemade chips. Ham, salami, provolone cheese, lettuce, tomatoes, onions, oil-vinegar",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Wraps,Tuna,,9.99,"Served with homemade chips. Tuna, lettuce, tomatoes, onions, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Wraps,Veggie,,9.99,"Served with homemade chips. Lettuce, tomatoes, onions, black olives, green peppers, mushrooms",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Wraps,Cheesesteak / Chicken Cheesesteak,,9.99,"Served with homemade chips. Chopped steak or chicken, onions, lettuce, tomatoes, American cheese, mayo",steak or chicken,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
