category,name,size,price,description,prompt_for,upsell
Wraps,Greek Chicken,,10.99,"Served with homemade chips. Grilled chicken, lettuce, tomatoes, red onion, kalamata olives, feta cheese, balsamic glaze",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Wraps,Southwest Grilled Chicken,,10.99,"Served with homemade chips. Lettuce, fire roasted corn, avocado, black beans, tortilla strips. Served with cilantro lime vinaigrette",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Wraps,Southwest Shrimp,,12.99,"Served with homemade chips. Lettuce, fire roasted corn, avocado, black beans, tortilla strips. Served with cilantro lime vinaigrette",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Homemade Paninis,Buffalo Chicken Cheesesteak,,10.99,"Served with fries. Lettuce, tomatoes, red onions, American cheese; choose sauce","which sauce (hot, mild, BBQ, or sweet & spicy)","upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Homemade Paninis,Cheesesteak,,10.99,"Served with fries. Lettuce, tomatoes, fried onions, American cheese, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Homemade Paninis,Chicken Cheesesteak,,10.99,"Served with fries. Lettuce, tomatoes, fried onions, American cheese, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Homemade Paninis,BLT,,10.99,"Served with fries. Bacon, lettuce, tomatoes, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Homemade Paninis,Turkey,,10.99,"Served with fries. Lettuce, tomatoes, fried onions, provolone cheese, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Homemade Paninis,Italian,,10.99,"Served with fries. Ham, salami, provolone, lettuce, tomatoes, red onions, oil-vinegar",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Homemade Paninis,Grilled Chicken,,10.99,"Served with fries. Lettuce, tomatoes, red onions, provolone cheese, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Homemade Paninis,Tuna Melt,,10.99,"Served with fries. Lettuce, tomatoes, red onions, bacon, provolone cheese, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Quesadillas,Steak,,12.49,"Served with sour cream and salsa. Chopped steak, cheese blend with lettuce, tomatoes, fried onions",,add a protein (shrimp +$6 or steak +$8); suggest a drink
Quesadillas,Chicken,,12.49,"Served with sour cream and salsa. Chopped chicken, cheese blend with lettuce, tomatoes, fried onions",,add a protein (shrimp +$6 or steak +$8); suggest a drink
Quesadillas,Veggie,,12.49,"Served with sour cream and salsa. Lettuce, tomatoes, onions, black olives, mushrooms, green peppers",,add a protein (shrimp +$6 or steak +$8); suggest a drink
Quesadillas,Chicken Fajita,,13.49,"Served with sour cream and salsa. Grilled chicken, cheese blend, sauteed onions, green peppers",,add a protein (shrimp +$6 or steak +$8); suggest a drink
Quesadillas,Southwest Chicken,,13.49,"Served with sour cream and salsa. Grilled chicken, cheese blend, corn bean mix",,add a protein (shrimp +$6 or steak +$8); suggest a drink
Entrees,Chicken Parmesan,,17.95,"Served with choice of pasta, garlic knots, side salad","which pasta (spaghetti, penne, angel hair, or linguine)",suggest an appetizer and drinks
Entrees,Chicken Marsala,,19.95,"Served with choice of pasta, garlic knots, side salad. Marsala wine sauce, mushrooms, sauteed garlic, onions","which pasta (spaghetti, penne, angel hair, or linguine)",suggest an appetizer and drinks
Entrees,Chicken Piccata,,19.95,"Served with choice of pasta, garlic knots, side salad. White wine, lemon juice, fresh garlic, roasted peppers, capers","which pasta (spaghetti, penne, angel hair, or linguine)",suggest an appetizer and drinks
Entrees,Alfredo - Chicken,,19.95,"Served with choice of pasta, garlic knots, side salad. Sauteed garlic, tomato in a parmesan creamy sauce","which pasta (spaghetti, penne, angel hair, or linguine)",suggest an appetizer and drinks
Entrees,Alfredo - Shrimp,,21.95,"Served with choice of pasta, garlic knots, side salad. Sauteed garlic, tomato in a parmesan creamy sauce","which pasta (spaghetti, penne, angel hair, or linguine)",suggest an appetizer and drinks
Entrees,Shrimp Fra Diavolo,,21.95,"Served with choice of pasta, garlic knots, side salad. Marinara sauce, spicy or mild","which pasta (spaghetti, penne, angel hair, or linguine)",suggest an appetizer and drinks
Entrees,Shrimp Scampi,,21.95,"Served with choice of pasta, garlic knots, side salad. White wine, lemon juice, fresh garlic, roasted peppers","which pasta (spaghetti, penne, angel hair, or linguine)",suggest an appetizer and drinks
Entrees,Mussels Fra Diavolo,,22.99,"Served with choice of pasta, garlic knots, side salad. Spicy marinara","which pasta (spaghetti, penne, angel hair, or linguine)",suggest an appetizer and drinks
Entrees,Pasta with Clam Sauce,,21.95,"Served with choice of pasta, garlic knots, side salad. Red or white clam sauce","which pasta (spaghetti, penne, angel hair, or linguine)",suggest an appetizer and drinks
Baked Pasta,Stuffed Shells,,16.95,"Served with garlic knots, side salad. Prepared with a marinara sauce",,suggest garlic knots or a drink
Baked Pasta,Cheese Ravioli,,16.95,"Served with garlic knots, side salad. Prepared with a marinara sauce",,suggest garlic knots or a drink
Baked Pasta,Baked Ziti,,16.95,"Served with garlic knots, side salad. Ziti covered in marinara sauce, ricotta cheese, mozzarella",,suggest garlic knots or a drink
Stromboli,House,Personal,12.95,"Ham, salami, green peppers, mushrooms, onions",,suggest a side salad or drink
Stromboli,House,"14""",18.95,"Ham, salami, green peppers, mushrooms, onions",,suggest a side salad or drink
Stromboli,House,"16""",22.95,"Ham, salami, green peppers, mushrooms, onions",,suggest a side salad or drink
Stromboli,Gyro,Personal,12.95,"Gyro meat, red onions, fresh tomatoes, homemade tzatziki sauce",,suggest a side salad or drink
Stromboli,Gyro,"14""",18.95,"Gyro meat, red onions, fresh tomatoes, homemade tzatziki sauce",,suggest a side salad or drink
Stromboli,Gyro,"16""",22.95,"Gyro meat, red onions, fresh tomatoes, homemade tzatziki sauce",,suggest a side salad or drink
Stromboli,Chicken Parmesan,Personal,12.95,"Fried chicken, mozzarella, marinara sauce",,suggest a side salad or drink
Stromboli,Chicken Parmesan,"14""",18.95,"Fried chicken, mozzarella, marinara sauce",,suggest a side salad or drink
Stromboli,Chicken Parmesan,"16""",22.95,"Fried chicken, mozzarella, marinara sauce",,suggest a side salad or drink
Stromboli,The Slice,Personal,12.95,"Steak meat, mozzarella sticks, onion rings, mozzarella",,suggest a side salad or drink
Stromboli,The Slice,"14""",18.95,"Steak meat, mozzarella sticks, onion rings, mozzarella",,suggest a side salad or drink
Stromboli,The Slice,"16""",22.95,"Steak meat, mozzarella sticks, onion rings, mozzarella",,suggest a side salad or drink
Stromboli,Calzone,Personal,12.95,"Ham, ricotta, mozzarella",,suggest a side salad or drink
Stromboli,Calzone,"14""",18.95,"Ham, ricotta, mozzarella",,suggest a side salad or drink
Stromboli,Calzone,"16""",22.95,"Ham, ricotta, mozzarella",,suggest a side salad or drink
Stromboli Rolls,Cheesesteak,,9.99,With onions,,suggest fries or a drink
Stromboli Rolls,Chicken Cheesesteak,,9.99,With onions,,suggest fries or a drink
Stromboli Rolls,Everything,,9.99,"Pepperoni, green peppers, onions, sausage, mushrooms, bacon, mozzarella",,suggest fries or a drink
Stromboli Rolls,Buffalo Chicken Cheesesteak,,9.99,With onions; choose sauce,"which sauce (hot, mild, BBQ, or sweet & spicy)",suggest fries or a drink
Stromboli Rolls,Pepperoni,,9.99,"Pepperoni, mozzarella",,suggest fries or a drink
Stromboli Rolls,Sausage,,9.99,"Green peppers, onions, mozzarella",,suggest fries or a drink
Stromboli Rolls,Meat Lovers,,9.99,"Bacon, ham, sausage, pepperoni, mozzarella",,suggest fries or a drink
Stromboli Rolls,Veggie,,9.99,"Tomatoes, green peppers, mushrooms, onions, black olives, mozzarella",,suggest fries or a drink
Angus Burgers & Specialty,California Cheeseburger,,10.99,"Served with fries. Lettuce, tomatoes, onions, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,Bacon Cheeseburger,,10.99,Served with fries,,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,Cheese Burger,,8.49,Served with fries,,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,Grilled Chicken Burger,,9.99,"Served with fries. American cheese, lettuce, tomatoes, red onions, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,Swiss Burger,,10.99,"Served with fries. Swiss cheese, sauteed onions, mushrooms",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,Big Boy Burger,,12.95,"Served with fries. 2 Angus beef patties, onion rings, bacon, cheddar cheese, lettuce, tomatoes",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,Cowboy Burger,,9.50,"Served with fries. Onion rings, BBQ sauce",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,Godfather Burger,,11.99,"Served with fries. Mozzarella sticks, bacon, cheddar cheese, lettuce, tomatoes",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,California Bacon Cheeseburger,,12.99,"Served with fries. Bacon, lettuce, tomatoes, onions, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,Farm Burger,,13.50,"Served with fries. Fried egg, bacon, American cheese, lettuce, tomatoes, onions",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Angus Burgers & Specialty,"""OG"" Seasoned Crispy Chicken",,13.50,"Served with crab fries. ""OG"" sauce, pickles",,suggest a drink
Angus Burgers & Specialty,Spicy Crispy Chicken,,13.50,"Served with crab fries. Spicy ""OG"" sauce, pickles",,suggest a drink
Angus Burgers & Specialty,CBR Seasoned Crispy Chicken,,13.50,"Served with crab fries. Lettuce, bacon, ranch dressing",,suggest a drink
Angus Burgers & Specialty,Fish Sandwich,,13.50,"Served with fries. Battered cod, lettuce, pickles, tarter sauce",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Cold Sandwiches,Turkey Club,,9.99,"Served with chips. Turkey, bacon, lettuce, tomatoes, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Cold Sandwiches,Italian Hoagie,,9.99,"Served with chips. Ham, provolone, salami, lettuce, tomatoes, onions, oil & vinegar",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Cold Sandwiches,Turkey Hoagie,,9.99,"Served with chips. Lettuce, tomatoes, provolone, onion, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Cold Sandwiches,Veggie Hoagie,,9.99,"Served with chips. Lettuce, tomatoes, onions, green peppers, cucumbers",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Cold Sandwiches,BLT,,7.99,"Served with chips. Bacon, lettuce, tomatoes, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Cold Sandwiches,Tuna Hoagie,,9.99,"Served with chips. Lettuce, tomatoes, onions",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Cheesesteak,,11.99,"Served with fries. American cheese, sauce, fried onions",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,California Cheesesteak,,11.99,"Served with fries. American cheese, lettuce, tomatoes, fried onions, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Chicken Cheesesteak,,11.99,"Served with fries. American cheese, sauce, fried onions",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,California Chicken Cheesesteak,,12.99,"Served with fries. American cheese, lettuce, tomatoes, fried onions, mayo",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,The Slice Cheesesteak,,13.99,"Served with fries. Mozzarella sticks, onion rings, fried onions, nacho cheese",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Supreme Cheesesteak,,13.99,"Served with fries. American cheese, mushrooms, fried onions, green peppers, pepperoni, marinara sauce",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Garlic Cheesesteak,,11.99,"Served with fries. Sauteed garlic, fried onions, American cheese",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Buffalo Chicken Cheesesteak,,11.99,"Served with fries. With fried onions, American cheese; choose sauce","which sauce (hot, mild, BBQ, or sweet & spicy)","upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Meatball Parmesan,,11.99,"Served with fries. Mozzarella, marinara sauce",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Sausage Parmesan,,11.99,"Served with fries. Mozzarella, marinara sauce",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Sausage,,11.99,"Served with fries. Marinara sauce, sauteed green peppers, fried onions",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Chicken Parmesan,,11.99,"Served with fries. Mozzarella, marinara sauce",,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Hot Sandwiches,Gyro (Beef or Chicken),,10.99,Served with fries,beef or chicken,"upgrade the side (sweet potato fries, pierogies, mozzarella sticks, onion rings, side salad); suggest a drink"
Kids' Menu,Chicken Nuggets (5),,5.99,Served with fries,,"upgrade the side (pierogies, sauteed pierogies, onion rings); suggest a kids drink"
Kids' Menu,Chicken Fingers (3),,5.99,Served with fries,,"upgrade the side (pierogies, sauteed pierogies, onion rings); suggest a kids drink"
Kids' Menu,Grilled Cheese,,5.99,Served with fries,,"upgrade the side (pierogies, sauteed pierogies, onion rings); suggest a kids drink"
Kids' Menu,Hot Dog,,5.99,Served with fries,,"upgrade the side (pierogies, sauteed pierogies, onion rings); suggest a kids drink"
Beverages,Coke,,2.99,,,
Beverages,Diet Coke,,2.99,,,
Beverages,Sprite,,2.99,,,
Beverages,Ginger Ale,,2.99,,,
Beverages,Unsweetened Iced Tea,,2.99,,,
Beverages,Lemonade,,2.99,,,
Pizza Toppings - Regular,Pepperoni (Whole pizza),,4.50,,,
Pizza Toppings - Regular,Sausage (Whole pizza),,4.50,,,
Pizza Toppings - Regular,Bacon (Whole pizza),,4.50,,,
Pizza Toppings - Regular,Green Peppers (Whole pizza),,4.50,,,
Pizza Toppings - Regular,Mushrooms (Whole pizza),,4.50,,,
Pizza Toppings - Regular,Onions (Whole pizza),,4.50,,,
Pizza Toppings - Regular,Garlic Sauce (Whole pizza),,4.50,,,
Pizza Toppings - Regular,Tomatoes (Whole pizza),,4.50,,,
Pizza Toppings - Regular,Anchovies (Whole pizza),,4.50,,,
Pizza Toppings - Regular,Pepperoni (Half pizza),,3.50,,,
Pizza Toppings - Regular,Sausage (Half pizza),,3.50,,,
Pizza Toppings - Regular,Bacon (Half pizza),,3.50,,,
Pizza Toppings - Regular,Green Peppers (Half pizza),,3.50,,,
Pizza Toppings - Regular,Mushrooms (Half pizza),,3.50,,,
Pizza Toppings - Regular,Onions (Half pizza),,3.50,,,
Pizza Toppings - Regular,Garlic Sauce (Half pizza),,3.50,,,
Pizza Toppings - Regular,Tomatoes (Half pizza),,3.50,,,
Pizza Toppings - Regular,Anchovies (Half pizza),,3.50,,,
Pizza Toppings - Gourmet,Steak (Whole pizza),,5.00,,,
Pizza Toppings - Gourmet,Chicken Steak (Whole pizza),,5.00,,,
Pizza Toppings - Gourmet,Grilled Chicken (Whole pizza),,5.00,,,
Pizza Toppings - Gourmet,Gyro Meat (Whole pizza),,5.00,,,
Pizza Toppings - Gourmet,Roasted Peppers (Whole pizza),,5.00,,,
Pizza Toppings - Gourmet,Broccoli (Whole pizza),,5.00,,,
Pizza Toppings - Gourmet,Spinach (Whole pizza),,5.00,,,
Pizza Toppings - Gourmet,Steak (Half pizza),,4.00,,,
Pizza Toppings - Gourmet,Chicken Steak (Half pizza),,4.00,,,
Pizza Toppings - Gourmet,Grilled Chicken (Half pizza),,4.00,,,
Pizza Toppings - Gourmet,Gyro Meat (Half pizza),,4.00,,,
Pizza Toppings - Gourmet,Roasted Peppers (Half pizza),,4.00,,,
Pizza Toppings - Gourmet,Broccoli (Half pizza),,4.00,,,
Pizza Toppings - Gourmet,Spinach (Half pizza),,4.00,,,
Slice Toppings - Regular,Pepperoni,,0.50,,,
Slice Toppings - Regular,Sausage,,0.50,,,
Slice Toppings - Regular,Bacon,,0.50,,,
Slice Toppings - Regular,Green Peppers,,0.50,,,
Slice Toppings - Regular,Mushrooms,,0.50,,,
Slice Toppings - Regular,Onions,,0.50,,,
Slice Toppings - Regular,Garlic Sauce,,0.50,,,
Slice Toppings - Regular,Tomatoes,,0.50,,,
Slice Toppings - Regular,Anchovies,,0.50,,,
Slice Toppings - Gourmet,Steak,,1.50,,,
Slice Toppings - Gourmet,Chicken Steak,,1.50,,,
Slice Toppings - Gourmet,Grilled Chicken,,1.50,,,
Slice Toppings - Gourmet,Gyro Meat,,1.50,,,
Slice Toppings - Gourmet,Roasted Peppers,,1.50,,,
Slice Toppings - Gourmet,Broccoli,,1.50,,,
Slice Toppings - Gourmet,Spinach,,1.50,,,
Wing Flavors,Hot,,0.00,,,
Wing Flavors,Mild,,0.00,,,
Wing Flavors,BBQ,,0.00,,,
Wing Flavors,Sweet & Spicy,,0.00,,,
Wing Flavors,Old Bay,,0.00,,,
Wing Flavors,Garlic Parmesan,,0.00,,,
Wing Flavors,Pineapple Teriyaki,,0.00,,,
Wing Flavors,Garlic Hot,,0.00,,,
Wing Flavors,Sweet Red Chili,,0.00,,,
Wing Flavors,Honey Garlic BBQ,,0.00,,,
Wing Flavors,Mango Habanero,,0.00,,,
Wing Flavors,Jamaican Jerk,,0.00,,,
Wing Flavors,Mike's Hot n' Honey,,0.00,,,
Wing Extras,Extra Ranch,,0.50,,,
Wing Extras,Extra Bleu Cheese,,0.50,,,
Wing Extras,Extra Celery,,0.50,,,
Salad Dressings,Ranch,,0.00,,,
Salad Dressings,Caesar,,0.00,,,
Salad Dressings,Bleu Cheese,,0.00,,,
Salad Dressings,French,,0.00,,,
Salad Dressings,Italian,,0.00,,,
Salad Dressings,Creamy Italian,,0.00,,,
Salad Dressings,Oil-Vinegar,,0.00,,,
Salad Dressings,House Balsamic,,0.00,,,
Salad Dressings,Honey Mustard,,0.00,,,
Salad Dressings,Thousand Island,,0.00,,,
Salad Dressings,Raspberry Vinaigrette,,0.00,,,
Salad Dressings,Cilantro Lime,,0.00,,,
Salad Dressings,Jalapeno Ranch,,0.00,,,
Extra Dressing,Extra Dressing,,0.50,,,
Salad Protein Add-ons,Chicken,,4.00,,,
Salad Protein Add-ons,Shrimp,,6.00,,,
Salad Protein Add-ons,Blackened Salmon,,8.00,,,
Salad Protein Add-ons,Black Diamond Steak,,8.00,,,
Quesadilla Protein Add-ons,Shrimp,,6.00,,,
Quesadilla Protein Add-ons,Black Diamond Steak,,8.00,,,
Pasta Choices,Spaghetti,,0.00,,,
Pasta Choices,Penne,,0.00,,,
Pasta Choices,Angel Hair,,0.00,,,
Pasta Choices,Linguine,,0.00,,,
Buffalo Sauce Options,Hot,,0.00,,,
Buffalo Sauce Options,Mild,,0.00,,,
Buffalo Sauce Options,BBQ,,0.00,,,
Buffalo Sauce Options,Sweet & Spicy,,0.00,,,
Pizza Finish (Buffalo Chicken),Bleu Cheese,,0.00,,,
Pizza Finish (Buffalo Chicken),Ranch,,0.00,,,
Steak or Chicken Choice,Steak,,0.00,,,
Steak or Chicken Choice,Chicken,,0.00,,,
Gyro Protein Choice,Beef,,0.00,,,
Gyro Protein Choice,Chicken,,0.00,,,
Side Substitutions,Sweet Potato Fries,,,Upcharge TBD,,
Side Substitutions,Pierogies,,,Upcharge TBD,,
Side Substitutions,Sauteed Pierogies,,,Upcharge TBD,,
Side Substitutions,Mozzarella Sticks,,,Upcharge TBD,,
Side Substitutions,Onion Rings,,,Upcharge TBD,,
Side Substitutions,Side Salad,,,Upcharge TBD,,
Side Substitutions - Kids,Pierogies,,,Upcharge TBD,,
Side Substitutions - Kids,Sauteed Pierogies,,,Upcharge TBD,,
Side Substitutions - Kids,Onion Rings,,,Upcharge TBD,,
